epoch,train_loss,train_precision,train_recall,train_f1,train_accuracy,val_loss,val_precision,val_recall,val_f1,val_accuracy,optimal_threshold,learning_rate,epoch_time
0,0.07719380514627787,0.16727272727272727,0.006953892668178382,0.013352685050798258,0.7944671201814059,0.027480242703989903,0.0,0.0,0.0,0.9609008013263333,0.5,0.000723606797749979,88.38580060005188
1,0.0504755007798425,0.0,0.0,0.0,0.7999697656840514,0.017715962054763015,0.0,0.0,0.0,0.9609008013263333,0.5,0.0005236067977499791,87.60131669044495
2,0.049177585929862766,0.0,0.0,0.0,0.8,0.026777845661404644,0.0,0.0,0.0,0.9609008013263333,0.5,0.0002763932022500211,87.25963139533997
3,0.048712821942132604,0.2085670576236614,0.8656084656084656,0.33614136018080953,0.3161904761904762,0.0226788307533951,0.039842100431469754,0.7667844522968198,0.07574832009773977,0.2683752417794971,0.25000000000000006,7.639320225002106e-05,87.89923739433289
4,0.048063987467935165,0.2462974486621033,0.2991685563114135,0.27017064846416383,0.676734693877551,0.026696586800496573,0.04129416773094934,0.34275618374558303,0.0737082066869301,0.6631666206134291,0.30000000000000004,0.0008,88.07613396644592
5,0.04963250641262508,0.22066260708019403,0.3232048374905518,0.26226692836113835,0.6363416477702192,0.03156839558653221,0.040016673614005835,0.6784452296819788,0.07557567407990554,0.35106382978723405,0.30000000000000004,0.0007804226065180615,84.381582736969
6,0.048891826518369944,0.24907749077490776,0.02040816326530612,0.0377253038982814,0.7917762660619804,0.03628946747014065,0.04685346807533303,0.18021201413427562,0.07437112650382792,0.8246062448190108,0.3500000000000001,0.000723606797749979,81.49547910690308
7,0.048791783294375675,0.2607204116638079,0.022978080120937265,0.04223395387607669,0.7915646258503402,0.037145929193128285,0.04089347079037801,0.21024734982332155,0.06846950517836593,0.7763194252555955,0.3500000000000001,0.0006351141009169893,83.56763434410095
8,0.048655830255243025,0.2308102345415778,0.327286470143613,0.27070959674898404,0.6473167044595616,0.022863129671934424,0.042435424354243544,0.0812720848056537,0.055757575757575756,0.8923735838629455,0.30000000000000004,0.0005236067977499791,83.76067614555359
9,0.048155549286758415,0.2484201351056875,0.34467120181405897,0.2887355157348192,0.6603779289493575,0.020058652468305287,0.05263157894736842,0.0035335689045936395,0.006622516556291391,0.9585520862116607,0.30000000000000004,0.0004,83.47848629951477
10,0.04786320096980672,1.0,0.0001511715797430083,0.0003022974607013301,0.8000302343159486,0.037367758754369436,0.05555555555555555,0.0017667844522968198,0.003424657534246575,0.9597955236253108,0.45000000000000007,0.0002763932022500211,81.8706316947937
