epoch,train_loss,train_precision,train_recall,train_f1,train_accuracy,val_loss,val_precision,val_recall,val_f1,val_accuracy,optimal_threshold,learning_rate,epoch_time
0,0.047649948232313874,0.09130434782608696,0.0031746031746031746,0.006135865595325055,0.9065072493643922,0.014478608500212431,0.0,0.0,0.0,0.9639175257731959,0.5,0.000723606797749979,160.86568140983582
1,0.02967103223726743,0.0,0.0,0.0,0.9090909090909091,0.01798161491751671,0.0,0.0,0.0,0.9639175257731959,0.5,0.0005236067977499791,160.15223574638367
2,0.0294201151617756,0.0,0.0,0.0,0.9090909090909091,0.014858523250690528,0.0,0.0,0.0,0.9639175257731959,0.5,0.0002763932022500211,157.08038902282715
3,0.02920205593592403,0.09676566493346259,0.8299319727891157,0.17332280978689818,0.28028585171442316,0.01680087617465428,0.03314917127071823,0.8571428571428571,0.06382978723404255,0.09278350515463918,0.20000000000000004,7.639320225002106e-05,155.08129596710205
4,0.02884859295431672,0.1408083441981747,0.09795918367346938,0.11553891414816796,0.8636569779426922,0.01660813484340906,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.9175257731958762,0.25000000000000006,0.0008,152.64939069747925
5,0.03000943950354265,0.10203721668577476,0.1749055177626606,0.12888492814971594,0.7850614993472136,0.01817262837929385,0.05660377358490566,0.42857142857142855,0.1,0.7216494845360825,0.25000000000000006,0.0007804226065180615,152.05022072792053
6,0.029768895907466782,0.09117549025054164,0.9924414210128496,0.16700797517139623,0.09999312856455714,0.018775912800005505,0.03723404255319149,1.0,0.07179487179487179,0.06701030927835051,0.15000000000000002,0.000723606797749979,154.10282063484192
7,0.029660468609907755,0.09585445869370712,0.7287981859410431,0.16942540853979968,0.3504019789734075,0.01417391627494778,0.037037037037037035,0.14285714285714285,0.058823529411764705,0.8350515463917526,0.20000000000000004,0.0006351141009169893,155.99359607696533
8,0.029384529847457593,0.0914651136870263,0.9924414210128496,0.16749371739102703,0.10312650312650312,0.01453640524830137,0.03314917127071823,0.8571428571428571,0.06382978723404255,0.09278350515463918,0.15000000000000002,0.0005236067977499791,155.22090244293213
9,0.0292395594961476,0.09183773284330851,0.9934996220710507,0.16813344248874335,0.10627362055933484,0.01549648999103478,0.03664921465968586,1.0,0.0707070707070707,0.05154639175257732,0.15000000000000002,0.0004,152.3158824443817
