epoch,train_loss,train_precision,train_recall,train_f1,train_accuracy,val_loss,val_precision,val_recall,val_f1,val_accuracy,optimal_threshold,learning_rate,epoch_time
0,0.7344963602007432,0.09615873823454592,0.34285714285714286,0.15019370219529155,0.6472892187177901,0.72260835891791,0.03904825865873549,0.7190812720848057,0.07407407407407407,0.29711246200607905,0.5,0.000723606797749979,163.2430934906006
1,0.6913896502768039,0.099705048869354,0.26061980347694635,0.14423157366351544,0.718848347419776,0.6833433561504019,0.04048987753061734,0.2862190812720848,0.0709437267352748,0.7068941696601271,0.5,0.0005236067977499791,163.3206810951233
2,0.6898040367305122,0.10355550948481393,0.3020408163265306,0.15423212011270215,0.6988524702810417,0.6369957956783556,0.028596961572832886,0.05653710247349823,0.03798219584569733,0.8880215529151699,0.5,0.0002763932022500211,166.65780568122864
3,0.6828541097639943,0.09137484595466568,0.9975812547241119,0.16741507471395592,0.09797292654435512,0.654895443263696,0.03919388464211258,0.9964664310954063,0.07542123562449853,0.04476374689140646,0.20000000000000004,7.639320225002106e-05,162.308203458786
4,0.6773412671651144,0.10659428628608596,0.6441421012849584,0.1829187147180665,0.47685013399299114,0.667435693293481,0.04120070629782225,0.49469964664310956,0.07606628633523499,0.5301188173528599,0.45000000000000007,0.0008,161.52284145355225
5,0.690371719335608,0.10863887007835929,0.33953136810279666,0.16460845029132617,0.6867037724180581,0.6452758500381285,0.043912175648702596,0.15547703180212014,0.06848249027237355,0.8346228239845261,0.5000000000000001,0.0007804226065180615,162.18246841430664
6,0.6860152934870388,0.11589363017934447,0.1416477702191988,0.1274829931972789,0.8237339380196523,0.6744916715369319,0.04911742133537989,0.11307420494699646,0.06848582129481005,0.879731970157502,0.5500000000000002,0.000723606797749979,166.37442660331726
7,0.6818264670794536,0.12802897826630028,0.15495086923658352,0.140209288010396,0.8272383700955129,0.6890837404112152,0.0402321083172147,0.18374558303886926,0.0660107902253253,0.7966979828681956,0.5500000000000002,0.0006351141009169893,166.31220865249634
8,0.6782838712817446,0.18674698795180722,0.004686318972033258,0.009143194219141719,0.9076616505187933,0.6949226374657739,0.04477611940298507,0.00530035335689046,0.009478672985781991,0.9566869300911854,0.7500000000000002,0.0005236067977499791,166.95131301879883
9,0.6742441933880591,0.121486467270228,0.3874527588813303,0.18497401847575057,0.6896035181749467,0.682128000338346,0.04193751310547285,0.35335689045936397,0.07497656982193064,0.6590909090909091,0.5000000000000001,0.0004,167.5940854549408
