epoch,train_loss,train_precision,train_recall,train_f1,train_accuracy,val_loss,val_precision,val_recall,val_f1,val_accuracy,learning_rate,epoch_time
0,0.6947938026914819,0.09682986647288581,0.26804123711340205,0.14226611504070466,0.7061741376551535,0.6794622841111401,0.022756005056890013,0.36950146627565983,0.04287172507655665,0.6130407868491643,0.0009045084971874737,4.82374119758606
1,0.6917494186880992,0.09977935768570728,0.20467689212974605,0.1341573959620931,0.7598235307563947,0.6764473570020575,0.02039451688398529,0.17888563049853373,0.036614645858343335,0.7792145264461104,0.0006545084971874737,4.296396493911743
2,0.6914534690784432,0.10126582278481013,0.19311038471209455,0.13286047919730126,0.7708414291265687,0.6746126962335486,0.02377029889385738,0.2961876832844575,0.04400871459694989,0.698191072288328,0.00034549150281252633,4.289971590042114
3,0.690270167345192,0.10247795044099119,0.2454111139049535,0.14458188282349455,0.7360047546117449,0.6676875854793348,0.02280701754385965,0.2287390029325513,0.041478330231321456,0.7520462205103514,9.549150281252633e-05,4.312173128128052
4,0.6883392347055569,0.11156900190973967,0.2791048529041991,0.15941404566996983,0.7324159370928293,0.6672633099451399,0.021877205363443897,0.2727272727272727,0.04050522648083624,0.6969530229039136,0.001,4.214877605438232
5,0.6912391997045941,0.10641891891891891,0.2692984661805381,0.15255323694893527,0.7280042060026973,0.6747111952618549,0.02603440260344026,0.3284457478005865,0.04824466939478785,0.696058876126281,0.0009755282581475768,4.1857709884643555
6,0.6904593178054743,0.10135994521084042,0.2604978627105859,0.14593604733060994,0.7228152787619723,0.6757200300170664,0.02444556451612903,0.2844574780058651,0.04502204687862613,0.716968154618612,0.0009045084971874737,4.200699806213379
7,0.6903748908760952,0.10478463461757018,0.23183303997988433,0.1443331246086412,0.75010857887398,0.6828044707837858,0.025311673592746504,0.39296187683284456,0.04755989352262644,0.6308549418804594,0.0007938926261462366,4.297104597091675
8,0.6897863429366496,0.10628457422689762,0.29469449333668596,0.15622500666488937,0.710608727455597,0.6685637588563719,0.02513291445142581,0.30498533724340177,0.04643893726278187,0.7062383932870211,0.0006545084971874737,4.306549549102783
9,0.6883903132718906,0.10711942257217848,0.3283882323359316,0.16154369472447275,0.6901044643061238,0.6499715910146111,0.023391812865497075,0.25806451612903225,0.04289544235924933,0.7298988926336062,0.0005,4.172602891921997
10,0.6889748963696217,0.10771321780496092,0.3188332914256978,0.16102609689504097,0.697967860653302,0.674337146052143,0.026846992329430764,0.39002932551319647,0.050236071765816806,0.6541027580989064,0.00034549150281252633,4.247116327285767
11,0.6886303077141444,0.10626562096009652,0.3100326879557455,0.1582798459563543,0.7002308729741468,0.6738956196789156,0.02370500438981563,0.31671554252199413,0.0441086379415969,0.6780383795309168,0.00020610737385376348,4.141322612762451
12,0.687704943076909,0.11005256241787122,0.33693738999245665,0.1659134526094224,0.6920245959722953,0.6666681235819533,0.024046242774566472,0.30498533724340177,0.044577796828118306,0.6933764357933833,9.549150281252633e-05,4.236956834793091
13,0.6876474887306927,0.11380533964177086,0.33869751068644705,0.17036615442989944,0.700116579422589,0.6731330111884234,0.023445261275581164,0.3460410557184751,0.04391514700409378,0.646605681271064,2.4471741852423235e-05,4.210664987564087
14,0.6866326508117698,0.11035727174305304,0.38446064873019864,0.17148945715567518,0.6622854138569502,0.6697297477931307,0.02336158776100889,0.3313782991202346,0.043646195442255696,0.6593988582433454,0.001,4.3027284145355225
15,0.6903299495839236,0.10730714791224345,0.3050037716872014,0.15875924350500623,0.706151278944842,0.6755613229776684,0.025328330206378986,0.31671554252199413,0.046905537459283386,0.6981222917669716,0.0009938441702975688,4.255994081497192
16,0.6889268858739507,0.10877192982456141,0.31958762886597936,0.16230366492146597,0.7000937207122774,0.6822948233600248,0.026242799231918072,0.36070381231671556,0.04892601431980907,0.6710915468739254,0.0009755282581475768,4.225510835647583
17,0.6890724732687599,0.11043950414916505,0.27105858687452855,0.15693696316785558,0.7352504171714632,0.6794572956206506,0.025485653181251115,0.41935483870967744,0.0480510752688172,0.6102895659949102,0.0009455032620941839,4.252643585205078
