epoch,train_loss,train_precision,train_recall,train_f1,train_accuracy,val_loss,val_precision,val_recall,val_f1,val_accuracy,optimal_threshold,learning_rate,epoch_time
0,0.0845004435902465,0.19863013698630136,0.008767951625094483,0.01679455624728536,0.7946787603930461,0.025525585433702595,0.0,0.0,0.0,0.9609008013263333,0.5,0.000723606797749979,83.75032353401184
1,0.051116147472629436,0.0,0.0,0.0,0.7999092970521542,0.035523686689585776,0.0,0.0,0.0,0.9609008013263333,0.5,0.0005236067977499791,83.55442476272583
2,0.048801627403712425,0.0,0.0,0.0,0.8,0.021577746107779593,0.0,0.0,0.0,0.9609008013263333,0.5,0.0002763932022500211,83.27893853187561
3,0.04837835954981397,0.23383716499428425,0.2783068783068783,0.2541413583655439,0.6732879818594104,0.02629851196660243,0.04004665629860031,0.18197879858657243,0.06564690885914595,0.7974578612876485,0.30000000000000004,7.639320225002106e-05,82.28305077552795
4,0.047854157714119154,0.2001452960406829,0.999546485260771,0.3335098736475751,0.20099773242630387,0.022791702530570904,0.03911000552791598,1.0,0.07527596754887618,0.039375518098922355,0.15000000000000002,0.0008,81.8703498840332
5,0.04942729479743157,0.20542519802720072,0.8311413454270598,0.32942868270469455,0.32326530612244897,0.01816003771280874,0.05,0.01060070671378092,0.01749271137026239,0.9534401768444322,0.25000000000000006,0.0007804226065180615,82.84702396392822
6,0.04866500493369608,0.2236180904522613,0.29599395313681026,0.2547654674386832,0.6536659108087679,0.03042095026235707,0.038555496548061605,0.6413427561837456,0.07273820258491133,0.360665929814866,0.30000000000000004,0.000723606797749979,83.02048873901367
7,0.048753879589660945,0.2301443078567611,0.3254724111866969,0.26963055729492796,0.6473469387755102,0.02691055695725724,0.040861267433325174,0.2950530035335689,0.07178164624973135,0.7016441005802708,0.30000000000000004,0.0006351141009169893,82.74912762641907
8,0.048577014221746755,0.2279379157427938,0.3108087679516251,0.262999680204669,0.6516099773242631,0.039796515970303786,0.03855631250905928,0.9399293286219081,0.07407407407407407,0.08123791102514506,0.30000000000000004,0.0005236067977499791,83.39176726341248
9,0.04833385950797445,0.23864246590054775,0.3359032501889645,0.2790405626020344,0.6528495842781558,0.02635429227194249,0.04228058936579116,0.2332155477031802,0.07158351409978309,0.7634705719812103,0.30000000000000004,0.0004,83.55043053627014
